IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,16,8,0,0,1,1,1,1,7,72,84
72,72,16,8,0,0,1,1,1,1,14,72,167
72,72,16,8,0,0,1,1,1,1,21,72,252
72,72,16,8,0,0,1,1,1,1,28,72,335
72,72,16,8,0,0,1,1,1,1,36,72,431
72,72,16,8,0,0,1,1,1,1,43,72,515
72,72,16,8,0,0,1,1,1,1,50,72,599
72,72,16,8,0,0,1,1,1,1,57,72,683
72,72,16,8,0,0,1,1,1,1,64,72,766
72,72,16,8,0,0,1,1,1,1,72,72,862
72,72,8,48,0,0,1,1,1,1,7,72,283
72,72,8,48,0,0,1,1,1,1,14,72,565
72,72,8,48,0,0,1,1,1,1,21,72,847
72,72,8,48,0,0,1,1,1,1,28,72,1130
72,72,8,48,0,0,1,1,1,1,36,72,1453
72,72,8,48,0,0,1,1,1,1,43,72,1736
72,72,8,48,0,0,1,1,1,1,50,72,2018
72,72,8,48,0,0,1,1,1,1,57,72,2300
72,72,8,48,0,0,1,1,1,1,64,72,2583
72,72,8,48,0,0,1,1,1,1,72,72,2902
36,36,48,8,0,0,1,1,1,1,3,36,39
36,36,48,8,0,0,1,1,1,1,7,36,89
36,36,48,8,0,0,1,1,1,1,10,36,127
36,36,48,8,0,0,1,1,1,1,14,36,179
36,36,48,8,0,0,1,1,1,1,18,36,229
36,36,48,8,0,0,1,1,1,1,21,36,268
36,36,48,8,0,0,1,1,1,1,25,36,318
36,36,48,8,0,0,1,1,1,1,28,36,357
36,36,48,8,0,0,1,1,1,1,32,36,408
36,36,48,8,0,0,1,1,1,1,36,36,459
36,36,8,48,0,0,1,1,1,1,3,36,60
36,36,8,48,0,0,1,1,1,1,7,36,142
36,36,8,48,0,0,1,1,1,1,10,36,202
36,36,8,48,0,0,1,1,1,1,14,36,282
36,36,8,48,0,0,1,1,1,1,18,36,364
36,36,8,48,0,0,1,1,1,1,21,36,423
36,36,8,48,0,0,1,1,1,1,25,36,505
36,36,8,48,0,0,1,1,1,1,28,36,565
